,imageid,Object ID,Parent,X_centroid,Y_centroid,leiden_Res0.3
11278,20_09_N2_R2,12e6b0d9-5ceb-4725-9587-79891cbbb557,Capsule/Sinus/Medulla,1456.1,2282.7,5
11279,20_09_N2_R2,b5bea535-88ea-4e1f-95e9-23a7844e99ae,Capsule/Sinus/Medulla,1244.2,2283.9,5
11280,20_09_N2_R2,462c9701-59aa-46ed-8462-1c4f9bd57416,Capsule/Sinus/Medulla,1709.5,2284.8,5
11281,20_09_N2_R2,074b86b3-968a-45e1-baad-49295e6ea180,Capsule/Sinus/Medulla,1324.4,2286.8,5
11282,20_09_N2_R2,d5d8084b-9d43-4bf4-80a5-c11b82240ece,Capsule/Sinus/Medulla,844.5,2287.4,9
11283,20_09_N2_R2,0e7a37a5-5e5e-4995-9f6a-4ca2ba8ff9df,Capsule/Sinus/Medulla,949.68,2289.0,9
11284,20_09_N2_R2,d1ad67b9-7594-4d45-9a0b-eab8b6424928,Capsule/Sinus/Medulla,2432.2,2292.1,9
11285,20_09_N2_R2,856a1ff7-dbb0-4684-83e3-d842724043e2,Capsule/Sinus/Medulla,1498.3,2294.3,5
11286,20_09_N2_R2,23c65dab-30bc-4c3e-b6b8-3a9de330e5bf,Capsule/Sinus/Medulla,2905.1,2295.5,5
11287,20_09_N2_R2,d4c303ff-fb9c-41a3-991e-bb15275d1e92,Capsule/Sinus/Medulla,836.72,2296.1,9
11288,20_09_N2_R2,9fd2f8bb-2536-4678-bd7b-158a4697c4c8,Capsule/Sinus/Medulla,1080.1,2296.3,5
11289,20_09_N2_R2,c0b37673-0cfa-4c8f-aba0-705a37e97921,Capsule/Sinus/Medulla,858.5,2296.7,9
11290,20_09_N2_R2,5a17165a-11aa-4fdc-85fe-d4cfca57661f,Capsule/Sinus/Medulla,3096.1,2296.9,5
11291,20_09_N2_R2,6ad41dc0-a5f2-4ef3-a6c6-791a76663bd0,Capsule/Sinus/Medulla,2668.6,2300.9,5
11292,20_09_N2_R2,7457804b-b9e1-4f52-b7b1-630bed784fa8,Capsule/Sinus/Medulla,1380.1,2302.0,9
11293,20_09_N2_R2,80360c41-916f-4d3c-92a0-2c9f750c11e9,Capsule/Sinus/Medulla,1909.6,2302.5,5
11294,20_09_N2_R2,6ee36829-2c75-4e5e-858c-1b72abe4be95,Capsule/Sinus/Medulla,2695.7,2304.1,5
11295,20_09_N2_R2,95c3186c-9c71-4b9c-aaf7-4c4361031c99,Capsule/Sinus/Medulla,1778.0,2304.3,9
11296,20_09_N2_R2,58f96bba-59e9-42e3-a9bd-d59172e4ef4b,Capsule/Sinus/Medulla,589.45,2304.3,9
11297,20_09_N2_R2,9d1f3072-ae6d-4145-82b9-f40437fc22da,Capsule/Sinus/Medulla,2338.9,2305.1,9
11298,20_09_N2_R2,e8b3533f-9ff9-4030-b436-217e7a5beb48,Capsule/Sinus/Medulla,2977.4,2305.4,5
11299,20_09_N2_R2,1d4203e7-d88a-467c-8256-29073b04ef29,Capsule/Sinus/Medulla,1660.0,2309.6,5
11301,20_09_N2_R2,fe6eaeab-b6f3-4165-8033-c1abd7b5d655,Capsule/Sinus/Medulla,652.74,2309.7,5
11302,20_09_N2_R2,47829943-c5fe-48e6-8b58-ac5f9f96cc66,Capsule/Sinus/Medulla,1966.2,2310.0,5
11303,20_09_N2_R2,5ec8fa91-c37b-4013-9985-c5512b98848d,Capsule/Sinus/Medulla,18.03,2310.4,9
11304,20_09_N2_R2,87f60da0-ebd5-4992-adbb-b3b4a13f67b3,Capsule/Sinus/Medulla,1460.9,2311.3,5
11305,20_09_N2_R2,4d394f6e-abb1-4b37-9cb2-0ea9c19dea55,Capsule/Sinus/Medulla,2041.4,2312.4,5
11306,20_09_N2_R2,4d41b3be-0272-4b4d-bffd-4d4c1dccd4a4,Capsule/Sinus/Medulla,3211.5,2318.3,5
11307,20_09_N2_R2,aefa79cb-edaf-4f67-9a9c-11a812ff1378,Capsule/Sinus/Medulla,1619.9,2319.1,5
11308,20_09_N2_R2,359cb224-1901-4a18-b57a-719e7e56842c,Capsule/Sinus/Medulla,1194.7,2320.7,5
11309,20_09_N2_R2,ce5eb9f5-ef29-4541-b90c-0d3e29106168,Capsule/Sinus/Medulla,1521.3,2324.5,5
11310,20_09_N2_R2,95a5a70f-67cd-448f-92ec-fd8cf935340a,Capsule/Sinus/Medulla,2334.4,2326.9,9
11311,20_09_N2_R2,499a0931-6fe0-4f7c-ae92-3632c4ba4115,Capsule/Sinus/Medulla,2678.4,2327.0,9
11312,20_09_N2_R2,98996e4e-da09-4942-be15-19bebbf1d4f1,Capsule/Sinus/Medulla,1882.8,2333.5,5
11313,20_09_N2_R2,ced10f6a-93d9-48e7-8ac8-8bf79b43fb27,Capsule/Sinus/Medulla,1752.5,2334.2,5
11314,20_09_N2_R2,bd3916c4-505a-4b76-aa2d-417b7b1f529f,Capsule/Sinus/Medulla,753.54,2334.8,9
11315,20_09_N2_R2,5dd6ea8d-942f-4b0e-848d-bb07c631810b,Capsule/Sinus/Medulla,1443.9,2335.1,5
11316,20_09_N2_R2,989abea6-a81d-4bae-90f9-43496656f0d6,Capsule/Sinus/Medulla,984.8,2335.2,5
11317,20_09_N2_R2,7c096f42-3572-49d3-8b41-ac0d3f5088bc,Capsule/Sinus/Medulla,2736.1,2337.1,9
11318,20_09_N2_R2,ba90bfb9-bfea-4895-8105-372f28a5eabd,Capsule/Sinus/Medulla,3120.9,2337.2,5
11319,20_09_N2_R2,a5678e9d-a4f2-46e3-ba92-bd01ae68df4e,Capsule/Sinus/Medulla,1789.1,2338.0,5
11321,20_09_N2_R2,b540ccec-92a5-4630-8d49-d616b896fb4e,Capsule/Sinus/Medulla,2485.1,2339.6,5
11322,20_09_N2_R2,3902c6c8-2644-43f4-9cd2-e9eae881e2dc,Capsule/Sinus/Medulla,2413.9,2340.4,5
11323,20_09_N2_R2,6584a122-2bab-475d-8db2-f16f232e3e09,Capsule/Sinus/Medulla,2511.2,2342.9,5
11324,20_09_N2_R2,b8455ecf-9f9e-40dd-b715-6b54fb9c9705,Capsule/Sinus/Medulla,2821.0,2344.5,5
11325,20_09_N2_R2,78769cb1-9430-4155-94a5-2e2cf52f0814,Capsule/Sinus/Medulla,1929.2,2346.6,9
11326,20_09_N2_R2,18759657-526e-4524-ae1e-b5cf857e5aa5,Capsule/Sinus/Medulla,1529.4,2347.6,5
11327,20_09_N2_R2,d969d03b-0de1-47cf-a0f7-460b9c500b5e,Capsule/Sinus/Medulla,813.48,2351.9,9
11328,20_09_N2_R2,59cf5a66-f874-468c-be0c-8333d89dd717,Capsule/Sinus/Medulla,2494.5,2355.1,5
11329,20_09_N2_R2,c990470f-d724-45ee-b7bb-f3714e8064f9,Capsule/Sinus/Medulla,139.81,2355.9,5
11330,20_09_N2_R2,2aac7041-15c7-4c62-843e-095ed9278130,Capsule/Sinus/Medulla,20.03,2356.5,9
11331,20_09_N2_R2,897dc580-5d02-4524-8757-872739b0630c,Capsule/Sinus/Medulla,2251.4,2356.8,5
11332,20_09_N2_R2,318d04ca-d5cd-499d-969b-705a445d7f5b,Capsule/Sinus/Medulla,476.51,2358.3,9
11333,20_09_N2_R2,941ba12d-3c3a-4ceb-88a2-8a00e6749889,Capsule/Sinus/Medulla,2879.2,2361.7,5
11334,20_09_N2_R2,c394f029-cc62-472e-a19f-a8cf39a74133,Capsule/Sinus/Medulla,3079.2,2362.3,5
11335,20_09_N2_R2,b20ce07c-dffc-4da0-a43e-a168bb7fdb94,Capsule/Sinus/Medulla,1574.5,2367.5,9
11336,20_09_N2_R2,4e5de654-e5b5-4e8e-b419-1940d3815f6f,Capsule/Sinus/Medulla,683.38,2368.6,9
11337,20_09_N2_R2,8e1b3737-df7f-4e3b-8fe0-d56b081215bc,Capsule/Sinus/Medulla,2504.3,2370.7,5
11338,20_09_N2_R2,bbd9c211-598a-4db0-b30c-9d9aa828739c,Capsule/Sinus/Medulla,2782.5,2372.1,5
11340,20_09_N2_R2,94b993c4-3445-4710-8cda-c31000d03a2c,Capsule/Sinus/Medulla,2454.2,2373.5,5
11341,20_09_N2_R2,767f1b9c-7521-431c-a68d-6029fab426f5,Capsule/Sinus/Medulla,1481.6,2374.0,5
11342,20_09_N2_R2,a29957a2-666e-41cc-97be-dd6cbe3ee10a,Capsule/Sinus/Medulla,1501.2,2374.9,9
11343,20_09_N2_R2,dd5d4f15-e258-4ea5-8b81-e4f8b47413fc,Capsule/Sinus/Medulla,1278.4,2376.5,5
11344,20_09_N2_R2,6ff26841-ee79-48fd-bbd9-96f5b2040688,Capsule/Sinus/Medulla,1557.5,2376.5,5
11345,20_09_N2_R2,89edb32d-9fad-44e7-b649-f44c284dcb23,Capsule/Sinus/Medulla,1677.0,2377.0,5
11346,20_09_N2_R2,c0241c0e-632c-4395-a587-8e9c1a950882,Capsule/Sinus/Medulla,1592.3,2377.9,5
11347,20_09_N2_R2,710b442d-4f0f-419b-89e8-80a7f2d11c46,Capsule/Sinus/Medulla,44.77,2379.5,9
11348,20_09_N2_R2,8747b744-4e77-4edb-b79b-b43cfdd1dae1,Capsule/Sinus/Medulla,642.33,2380.7,5
11349,20_09_N2_R2,4f28f0d5-1d40-4dc9-ade2-078e97d76fc7,Capsule/Sinus/Medulla,2930.4,2384.8,5
11350,20_09_N2_R2,efe3bbb2-ea73-49ab-aec5-4cb7e497e953,Capsule/Sinus/Medulla,2759.7,2387.5,9
